"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1285","CRUD user flow","","Wed Nov 26 22:03:43 UTC 2025","passed","Wed Nov 26 22:03:44 UTC 2025","","User API Testing","CRUD user flow",""
"","1818","Get posts by tag","","Wed Nov 26 22:03:41 UTC 2025","passed","Wed Nov 26 22:03:43 UTC 2025","","Tag API Test","Get posts by tag",""
"","2571","Login with wrong password","","Wed Nov 26 22:03:20 UTC 2025","passed","Wed Nov 26 22:03:23 UTC 2025","","Dashboard Login","Login with wrong password",""
"","1530","Login with password empty and valid email","","Wed Nov 26 22:03:19 UTC 2025","passed","Wed Nov 26 22:03:20 UTC 2025","","Dashboard Login","Login with password empty and valid email",""
"","4439","Delete post content","","Wed Nov 26 22:03:32 UTC 2025","passed","Wed Nov 26 22:03:36 UTC 2025","","Dashboard Login","Delete post content",""
"","2509","Login with valid email format but unregistered user","","Wed Nov 26 22:03:23 UTC 2025","passed","Wed Nov 26 22:03:25 UTC 2025","","Dashboard Login","Login with valid email format but unregistered user",""
"","1565","Login with empty email and password","","Wed Nov 26 22:03:17 UTC 2025","passed","Wed Nov 26 22:03:19 UTC 2025","","Dashboard Login","Login with empty email and password",""
"","17551","Login dashboard with valid credentials","","Wed Nov 26 22:03:00 UTC 2025","passed","Wed Nov 26 22:03:17 UTC 2025","","Dashboard Login","Login dashboard with valid credentials",""
"","171","Create user with invalid email","","Wed Nov 26 22:03:44 UTC 2025","passed","Wed Nov 26 22:03:45 UTC 2025","","User API Testing","Create user with invalid email",""
"","2465","Get tag list","","Wed Nov 26 22:03:39 UTC 2025","passed","Wed Nov 26 22:03:41 UTC 2025","","Tag API Test","Get tag list",""
"","1048","Login with email without at symbol","","Wed Nov 26 22:03:25 UTC 2025","passed","Wed Nov 26 22:03:26 UTC 2025","","Dashboard Login","Login with email without at symbol",""
"","5317","create post content","","Wed Nov 26 22:03:26 UTC 2025","passed","Wed Nov 26 22:03:32 UTC 2025","","Dashboard Login","create post content",""
